epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2961399257183075,0.0010000000474974513,1.372430682182312,0.3469879627227783,1.3733865022659302
1,0.3733413815498352,0.0010000000474974513,1.309787631034851,0.3855421543121338,1.3227602243423462
2,0.40289506316185,0.0010000000474974513,1.2686424255371094,0.4361445903778076,1.2660905122756958
3,0.38962605595588684,0.0010000000474974513,1.2599689960479736,0.45542168617248535,1.2260894775390625
4,0.407720148563385,0.0010000000474974513,1.2436851263046265,0.45783132314682007,1.2060116529464722
5,0.41194209456443787,0.0010000000474974513,1.2454609870910645,0.46746987104415894,1.194945216178894
6,0.4487334191799164,0.0010000000474974513,1.2151981592178345,0.46987950801849365,1.1693614721298218
7,0.4451145827770233,0.0010000000474974513,1.1925259828567505,0.48433735966682434,1.155205488204956
8,0.4571773111820221,0.0010000000474974513,1.187638759613037,0.4963855445384979,1.1505324840545654
9,0.43787696957588196,0.0010000000474974513,1.189090609550476,0.5060241222381592,1.1374852657318115
10,0.46984317898750305,0.0010000000474974513,1.1739870309829712,0.4746987819671631,1.1421624422073364
11,0.4800964891910553,0.0010000000474974513,1.1695805788040161,0.4650602340698242,1.16049063205719
12,0.48673099279403687,0.0010000000474974513,1.1468589305877686,0.5108433961868286,1.1147886514663696
13,0.482509046792984,0.0010000000474974513,1.144561529159546,0.4746987819671631,1.1268219947814941
14,0.4855247139930725,0.0010000000474974513,1.1482642889022827,0.5012048482894897,1.1179977655410767
15,0.4831121861934662,0.0010000000474974513,1.1453007459640503,0.4795180857181549,1.1229192018508911
16,0.46079614758491516,0.0010000000474974513,1.1626490354537964,0.4963855445384979,1.122108817100525
17,0.47889024019241333,0.0010000000474974513,1.1410558223724365,0.5108433961868286,1.1038895845413208
18,0.48673099279403687,0.0010000000474974513,1.1317354440689087,0.5253012180328369,1.1031392812728882
19,0.4909529685974121,0.0010000000474974513,1.1328632831573486,0.5132530331611633,1.0843712091445923
20,0.5,0.0010000000474974513,1.1178125143051147,0.4939759075641632,1.0984121561050415
21,0.49577805399894714,0.0010000000474974513,1.1354646682739258,0.5373494029045105,1.0895658731460571
22,0.482509046792984,0.0010000000474974513,1.1274726390838623,0.5277108550071716,1.0955853462219238
23,0.5042219758033752,0.0010000000474974513,1.1288434267044067,0.48433735966682434,1.0940808057785034
24,0.4885404109954834,0.0010000000474974513,1.126773715019226,0.5253012180328369,1.0966886281967163
25,0.5114595890045166,0.0010000000474974513,1.1203533411026,0.4915662705898285,1.101810097694397
26,0.5138721466064453,0.0010000000474974513,1.1212369203567505,0.5469879508018494,1.0763399600982666
27,0.5030156970024109,0.0010000000474974513,1.112253189086914,0.515662670135498,1.0891681909561157
28,0.4993968605995178,0.0010000000474974513,1.1118319034576416,0.5084337592124939,1.0877162218093872
29,0.4993968605995178,0.0010000000474974513,1.1182689666748047,0.4915662705898285,1.098012924194336
30,0.4945717751979828,0.0010000000474974513,1.1028189659118652,0.5180723071098328,1.0793235301971436
31,0.49819058179855347,0.0010000000474974513,1.1038552522659302,0.5204819440841675,1.0817921161651611
32,0.4939686357975006,0.0010000000474974513,1.1151574850082397,0.5204819440841675,1.095442533493042
33,0.5090470314025879,0.0010000000474974513,1.1064646244049072,0.5469879508018494,1.0828911066055298
34,0.516284704208374,0.0010000000474974513,1.0902796983718872,0.5397590398788452,1.0902185440063477
35,0.5114595890045166,0.0010000000474974513,1.100529670715332,0.4939759075641632,1.0967397689819336
36,0.5096501708030701,0.0010000000474974513,1.114305853843689,0.5253012180328369,1.07976233959198
